date,article,quantity
2022-02-16,287,208
2022-02-16,174,16
2022-02-16,66,16
2022-02-16,354,16
2022-02-16,124,16
2022-02-16,137,32
2022-02-16,44,16
2022-02-16,201,32
2022-02-16,85,32
2022-02-16,430,16
2022-03-04,287,160
2022-03-04,137,320
2022-03-04,490,96
2022-03-07,176,64
2022-03-07,182,160
2022-03-07,265,160
2022-03-07,35,80
2022-03-07,67,96
2022-03-07,319,32
2022-03-11,287,128
2022-03-11,53,320
2022-03-11,137,320
2022-03-11,369,80
2022-03-11,375,96
2022-03-14,53,272
2022-03-14,333,32
2022-03-14,137,320
2022-03-14,375,320
2022-03-15,287,272
2022-03-15,333,32
2022-03-15,137,320
2022-03-15,375,320
2022-03-16,53,320
2022-03-16,137,32
2022-03-16,61,80
2022-03-16,490,320
2022-03-16,324,80
2022-03-16,279,112
2022-03-17,53,128
2022-03-17,239,112
2022-03-18,287,320
2022-03-18,53,320
2022-03-18,490,64
2022-03-18,324,80
2022-03-18,369,160
2022-03-21,53,32
2022-03-21,61,160
2022-03-21,239,160
2022-03-23,287,176
2022-03-23,137,320
2022-03-23,61,80
2022-03-23,324,48
2022-03-23,239,80
2022-03-23,375,80
2022-03-24,287,144
2022-03-24,53,320
2022-03-24,137,320
2022-03-24,369,160
2022-03-25,287,320
2022-03-25,53,96
2022-03-25,137,320
2022-03-25,375,208
2022-03-28,53,320
2022-03-28,137,320
2022-03-28,494,304
2022-03-29,53,64
2022-03-29,482,192
2022-03-29,137,320
2022-03-29,311,320
2022-03-29,494,48
2022-03-30,287,176
2022-03-30,482,32
2022-03-30,137,320
2022-03-30,375,64
2022-03-30,311,32
2022-03-30,21,320
2022-03-31,137,320
2022-03-31,162,80
2022-03-31,375,320
2022-03-31,21,224
2022-04-01,137,320
2022-04-01,369,320
2022-04-01,311,304
2022-04-04,103,176
2022-04-04,137,320
2022-04-04,369,128
2022-04-04,311,320
2022-04-05,287,160
2022-04-05,103,144
2022-04-05,137,320
2022-04-05,311,320
2022-04-06,287,320
2022-04-06,137,320
2022-04-06,375,304
2022-04-07,287,160
2022-04-07,333,320
2022-04-07,137,160
2022-04-07,490,304
2022-04-08,333,320
2022-04-08,391,320
2022-04-08,61,288
2022-04-08,490,16
2022-04-11,287,144
2022-04-11,103,320
2022-04-11,482,32
2022-04-11,67,32
2022-04-11,311,320
2022-04-11,494,96
2022-04-12,287,304
2022-04-12,103,320
2022-04-12,311,320
2022-04-13,176,96
2022-04-13,103,16
2022-04-13,319,64
2022-04-13,311,320
2022-04-15,158,16
2022-04-18,79,320
2022-04-18,102,256
2022-04-18,494,48
2022-04-18,173,320
2022-04-19,103,256
2022-04-19,79,320
2022-04-19,311,320
2022-04-19,173,48
2022-04-20,103,304
2022-04-20,79,320
2022-04-20,311,320
2022-04-21,287,32
2022-04-21,103,16
2022-04-21,223,176
2022-04-21,79,80
2022-04-21,311,320
2022-04-21,21,320
2022-04-22,403,320
2022-04-22,223,320
2022-04-22,21,304
2022-04-25,213,64
2022-04-25,103,240
2022-04-25,369,320
2022-04-25,311,320
2022-04-26,287,176
2022-04-26,103,320
2022-04-26,369,128
2022-04-26,311,320
2022-04-27,287,320
2022-04-27,12,288
2022-04-27,162,224
2022-04-27,311,112
2022-04-28,287,320
2022-04-28,404,304
2022-04-28,162,320
2022-04-29,158,64
2022-04-29,287,192
2022-04-29,404,320
2022-04-29,162,320
2022-04-29,437,48
2022-05-02,66,128
2022-05-02,333,208
2022-05-02,404,64
2022-05-02,182,48
2022-05-02,122,48
2022-05-02,265,32
2022-05-02,162,96
2022-05-02,437,320
2022-05-03,482,32
2022-05-03,404,16
2022-05-03,223,128
2022-05-03,79,320
2022-05-03,311,96
2022-05-03,494,32
2022-05-03,21,320
2022-05-04,404,320
2022-05-04,110,48
2022-05-04,208,64
2022-05-04,79,176
2022-05-04,437,16
2022-05-04,21,320
2022-05-05,333,192
2022-05-05,404,320
2022-05-05,305,16
2022-05-05,41,48
2022-05-05,437,320
2022-05-05,21,48
2022-05-06,404,320
2022-05-06,305,304
2022-05-06,437,320
2022-05-09,404,320
2022-05-09,162,192
2022-05-09,311,304
2022-05-09,437,128
2022-05-10,66,16
2022-05-10,404,16
2022-05-10,391,64
2022-05-10,61,320
2022-05-10,162,320
2022-05-10,319,32
2022-05-10,311,112
2022-05-10,437,64
2022-05-11,61,48
2022-05-11,110,64
2022-05-11,164,32
2022-05-11,35,128
2022-05-13,61,80
2022-05-13,369,160
2022-05-16,4,96
2022-05-16,171,320
2022-05-16,314,208
2022-05-16,409,320
2022-05-17,409,272
2022-05-17,75,32
2022-05-17,67,32
2022-05-18,176,160
2022-05-18,66,112
2022-05-23,459,64
2022-05-23,267,112
2022-05-23,314,320
2022-05-23,409,272
2022-05-23,205,176
2022-05-24,452,80
2022-05-24,459,320
2022-05-24,158,80
2022-05-24,169,320
2022-05-24,67,144
2022-05-25,452,16
2022-05-25,459,320
2022-05-25,475,16
2022-05-25,169,272
2022-05-25,369,320
2022-05-26,133,320
2022-05-26,369,160
2022-05-26,328,112
2022-05-26,319,192
2022-05-27,61,80
2022-05-27,369,160
2022-05-30,333,320
2022-05-30,169,96
2022-05-30,314,80
2022-05-30,133,320
2022-05-30,75,96
2022-05-30,328,32
2022-05-31,176,48
2022-05-31,66,48
2022-05-31,120,320
2022-05-31,333,320
2022-05-31,133,32
2022-05-31,490,32
2022-05-31,328,144
2022-06-01,333,48
2022-06-01,130,320
2022-06-01,342,256
2022-06-01,194,320
2022-06-02,432,176
2022-06-02,120,320
2022-06-02,333,128
2022-06-02,82,320
2022-06-03,432,16
2022-06-03,120,304
2022-06-03,82,240
2022-06-03,369,160
2022-06-06,120,32
2022-06-07,432,320
2022-06-07,82,304
2022-06-07,75,32
2022-06-07,168,112
2022-06-08,207,80
2022-06-08,137,320
2022-06-08,328,128
2022-06-08,375,320
2022-06-08,205,96
2022-06-09,207,304
2022-06-09,137,320
2022-06-09,375,320
2022-06-10,137,320
2022-06-10,61,160
2022-06-10,375,16
2022-06-13,452,192
2022-06-13,459,320
2022-06-13,4,48
2022-06-13,171,224
2022-06-13,409,80
2022-06-14,66,48
2022-06-14,319,64
2022-06-15,260,320
2022-06-15,207,320
2022-06-15,137,224
2022-06-15,49,80
2022-06-16,207,64
2022-06-17,475,32
2022-06-17,98,320
2022-06-17,350,320
2022-06-22,260,320
2022-06-22,207,256
2022-06-22,279,48
2022-06-22,49,320
2022-06-23,260,320
2022-06-23,279,304
2022-06-23,49,320
2022-06-24,475,80
2022-06-24,260,112
2022-06-27,475,320
2022-06-27,61,320
2022-06-28,176,16
2022-06-28,182,80
2022-06-28,61,80
2022-06-28,110,64
2022-06-28,265,80
2022-06-28,35,96
2022-06-28,319,16
2022-06-29,260,320
2022-06-29,279,304
2022-06-29,49,320
2022-06-30,260,320
2022-06-30,279,304
2022-06-30,49,320
2022-07-01,260,320
2022-07-01,207,16
2022-07-01,61,176
2022-07-01,279,112
2022-07-01,49,320
2022-07-04,475,144
2022-07-04,260,320
2022-07-04,409,176
2022-07-04,49,304
2022-07-05,158,48
2022-07-05,176,80
2022-07-05,66,48
2022-07-05,260,320
2022-07-05,182,32
2022-07-05,279,32
2022-07-05,319,64
2022-07-05,49,320
2022-07-06,260,320
2022-07-06,391,320
2022-07-06,49,304
2022-07-07,260,80
2022-07-18,171,176
2022-07-19,171,320
2022-07-19,474,304
2022-07-19,111,320
2022-07-20,171,320
2022-07-20,474,304
2022-07-20,111,320
2022-07-21,171,320
2022-07-21,474,304
2022-07-21,111,320
2022-07-22,171,320
2022-07-22,474,304
2022-07-22,111,320
2022-07-25,171,320
2022-07-25,474,304
2022-07-25,111,320
2022-07-26,171,320
2022-07-26,450,272
2022-07-26,349,320
2022-07-26,111,32
2022-07-27,171,320
2022-07-27,450,160
2022-07-27,254,304
2022-07-27,407,160
2022-07-28,254,96
2022-07-28,34,208
2022-07-28,233,320
2022-07-28,215,320
2022-07-29,233,128
2022-08-01,459,256
2022-08-01,378,80
2022-08-01,4,32
2022-08-01,267,32
2022-08-01,333,320
2022-08-01,409,224
2022-08-02,475,304
2022-08-02,378,320
2022-08-02,333,320
2022-08-03,475,96
2022-08-03,378,48
2022-08-03,333,320
2022-08-03,207,160
2022-08-03,490,240
2022-08-03,319,80
2022-08-04,333,320
2022-08-04,260,320
2022-08-04,391,224
2022-08-04,490,80
2022-08-05,260,320
2022-08-05,391,320
2022-08-05,61,304
2022-08-08,260,320
2022-08-08,391,320
2022-08-08,61,288
2022-08-08,49,16
2022-08-09,260,320
2022-08-09,391,320
2022-08-09,49,304
2022-08-10,260,320
2022-08-10,391,320
2022-08-10,49,304
2022-08-11,260,320
2022-08-11,391,320
2022-08-11,49,304
2022-08-12,174,112
2022-08-12,260,320
2022-08-12,391,320
2022-08-12,49,192
2022-08-15,378,176
2022-08-15,267,144
2022-08-15,6,192
2022-08-15,435,160
2022-08-15,79,272
2022-08-16,260,320
2022-08-16,6,320
2022-08-16,391,64
2022-08-16,138,240
2022-08-17,260,320
2022-08-17,6,176
2022-08-17,391,320
2022-08-17,49,128
2022-08-18,260,320
2022-08-18,391,320
2022-08-18,49,304
2022-08-19,137,320
2022-08-19,79,320
2022-08-19,173,304
2022-08-22,349,16
2022-08-22,137,288
2022-08-22,79,320
2022-08-22,173,320
2022-08-23,349,240
2022-08-23,44,64
2022-08-23,79,320
2022-08-23,173,320
2022-08-24,349,304
2022-08-24,79,320
2022-08-24,173,320
2022-08-25,349,16
2022-08-25,79,320
2022-08-25,67,208
2022-08-25,102,80
2022-08-25,494,320
2022-08-26,176,80
2022-08-26,287,176
2022-08-26,66,64
2022-08-26,207,48
2022-08-26,137,320
2022-08-26,369,96
2022-08-26,67,16
2022-08-26,319,144
2022-08-29,81,304
2022-08-29,200,320
2022-08-29,430,320
2022-08-30,484,96
2022-08-30,81,320
2022-08-30,200,320
2022-08-30,430,208
2022-08-31,484,320
2022-08-31,81,320
2022-08-31,200,304
2022-09-01,81,320
2022-09-01,341,304
2022-09-01,64,320
2022-09-02,333,320
2022-09-02,310,320
2022-09-02,64,304
2022-09-05,475,64
2022-09-05,333,80
2022-09-05,124,272
2022-09-05,227,240
2022-09-05,60,144
2022-09-05,310,144
2022-09-06,66,32
2022-09-06,260,320
2022-09-06,207,320
2022-09-06,227,16
2022-09-06,391,64
2022-09-06,319,32
2022-09-06,141,160
2022-09-07,260,320
2022-09-07,207,32
2022-09-07,391,320
2022-09-07,61,272
2022-09-08,260,320
2022-09-08,391,256
2022-09-08,279,48
2022-09-08,49,320
2022-09-09,91,192
2022-09-09,279,320
2022-09-09,262,80
2022-09-09,201,32
2022-09-09,49,320
2022-09-12,378,32
2022-09-12,171,144
2022-09-12,267,16
2022-09-12,260,160
2022-09-12,314,192
2022-09-12,207,32
2022-09-12,6,128
2022-09-12,409,192
2022-09-12,435,48
2022-09-13,260,320
2022-09-13,391,320
2022-09-13,61,256
2022-09-13,44,48
2022-09-14,260,320
2022-09-14,6,16
2022-09-14,391,320
2022-09-14,61,80
2022-09-14,49,208
2022-09-15,91,256
2022-09-15,6,32
2022-09-15,279,320
2022-09-15,201,16
2022-09-15,49,320
2022-09-16,91,304
2022-09-16,279,320
2022-09-16,49,320
2022-09-19,379,304
2022-09-19,97,320
2022-09-19,476,320
2022-09-20,379,304
2022-09-20,97,320
2022-09-20,476,320
2022-09-21,379,304
2022-09-21,97,320
2022-09-21,476,320
2022-09-22,379,304
2022-09-22,97,320
2022-09-22,476,320
2022-09-23,484,16
2022-09-23,81,160
2022-09-23,379,128
2022-09-23,97,320
2022-09-23,476,320
2022-09-26,314,128
2022-09-26,409,96
2022-09-26,97,320
2022-09-26,200,80
2022-09-26,476,320
2022-09-27,171,320
2022-09-27,111,272
2022-09-27,476,112
2022-09-27,79,240
2022-09-28,349,320
2022-09-28,79,320
2022-09-28,494,304
2022-09-29,349,320
2022-09-29,79,320
2022-09-29,494,304
2022-09-30,349,320
2022-09-30,79,320
2022-09-30,102,192
2022-09-30,494,112
2022-10-03,349,320
2022-10-03,476,304
2022-10-03,79,320
2022-10-04,349,128
2022-10-04,200,144
2022-10-04,79,320
2022-10-04,102,304
2022-10-04,494,48
2022-10-05,81,48
2022-10-05,200,256
2022-10-05,79,320
2022-10-05,311,320
2022-10-06,81,288
2022-10-06,407,48
2022-10-06,79,288
2022-10-06,311,320
2022-10-07,484,112
2022-10-07,81,272
2022-10-07,482,112
2022-10-07,407,128
2022-10-07,311,320
2022-10-10,314,96
2022-10-10,409,96
2022-10-10,97,80
2022-10-10,200,144
2022-10-10,476,320
2022-10-10,311,208
2022-10-11,103,240
2022-10-11,482,320
2022-10-11,311,320
2022-10-11,494,64
2022-10-12,103,304
2022-10-12,482,320
2022-10-12,311,320
2022-10-13,103,320
2022-10-13,482,304
2022-10-13,311,320
2022-10-14,103,320
2022-10-14,311,320
2022-10-14,21,304
2022-10-17,349,256
2022-10-17,409,16
2022-10-17,97,32
2022-10-17,476,320
2022-10-17,79,320
2022-10-18,476,240
2022-10-18,79,192
2022-10-18,102,256
2022-10-18,311,256
2022-10-19,103,272
2022-10-19,311,320
2022-10-19,21,320
2022-10-19,64,32
2022-10-20,12,256
2022-10-20,351,48
2022-10-20,21,320
2022-10-20,64,320
2022-10-21,176,48
2022-10-21,287,48
2022-10-21,66,32
2022-10-21,137,320
2022-10-21,182,48
2022-10-21,369,240
2022-10-21,265,96
2022-10-21,149,112
2022-10-24,314,64
2022-10-24,409,80
2022-10-24,379,160
2022-10-24,97,320
2022-10-24,476,320
2022-10-25,379,304
2022-10-25,97,320
2022-10-25,476,320
2022-10-26,171,304
2022-10-26,474,48
2022-10-26,111,320
2022-10-26,476,96
2022-10-26,311,144
2022-10-26,494,32
2022-10-27,103,320
2022-10-27,379,128
2022-10-27,311,320
2022-10-27,21,176
2022-10-28,379,128
2022-10-28,162,240
2022-10-28,351,320
2022-10-28,311,256
2022-10-31,81,192
2022-10-31,349,320
2022-10-31,407,64
2022-10-31,19,96
2022-10-31,200,192
2022-10-31,64,80
2022-11-01,103,32
2022-11-01,379,320
2022-11-01,351,224
2022-11-01,311,320
2022-11-01,64,48
2022-11-02,379,320
2022-11-02,162,304
2022-11-02,351,320
2022-11-03,254,240
2022-11-03,379,64
2022-11-03,162,320
2022-11-03,351,320
2022-11-04,254,128
2022-11-04,404,176
2022-11-04,162,320
2022-11-04,351,320
2022-11-07,4,32
2022-11-07,19,320
2022-11-07,90,80
2022-11-07,79,320
2022-11-07,173,192
2022-11-08,349,304
2022-11-08,409,144
2022-11-08,79,176
2022-11-08,173,320
2022-11-09,349,80
2022-11-09,162,304
2022-11-09,351,320
2022-11-09,173,240
2022-11-10,267,32
2022-11-10,404,272
2022-11-10,162,320
2022-11-10,351,320
2022-11-11,404,304
2022-11-11,162,320
2022-11-11,351,320
2022-11-14,349,96
2022-11-14,409,16
2022-11-14,97,112
2022-11-14,19,320
2022-11-14,90,80
2022-11-14,476,320
2022-11-15,103,320
2022-11-15,12,144
2022-11-15,223,48
2022-11-15,476,80
2022-11-15,44,32
2022-11-15,311,320
2022-11-16,459,304
2022-11-16,66,48
2022-11-16,12,112
2022-11-16,162,160
2022-11-16,351,320
2022-11-17,459,320
2022-11-17,333,320
2022-11-17,169,304
2022-11-18,459,80
2022-11-18,333,80
2022-11-18,169,192
2022-11-18,137,320
2022-11-18,369,272
2022-11-21,314,144
2022-11-21,409,32
2022-11-21,379,64
2022-11-21,97,288
2022-11-21,19,96
2022-11-21,476,320
2022-11-22,378,160
2022-11-22,267,32
2022-11-22,169,320
2022-11-22,379,320
2022-11-22,252,112
2022-11-23,475,80
2022-11-23,378,112
2022-11-23,169,48
2022-11-23,133,320
2022-11-23,435,192
2022-11-23,444,16
2022-11-23,319,32
2022-11-23,310,144
2022-11-24,120,32
2022-11-24,133,192
2022-11-24,6,320
2022-11-24,328,320
2022-11-24,310,80
2022-11-25,267,16
2022-11-25,120,304
2022-11-25,260,80
2022-11-25,6,176
2022-11-25,60,32
2022-11-25,208,16
2022-11-25,328,320
2022-11-28,484,32
2022-11-28,379,320
2022-11-28,252,320
2022-11-28,362,144
2022-11-28,405,128
2022-11-29,19,320
2022-11-29,90,320
2022-11-29,405,304
2022-11-30,171,320
2022-11-30,19,160
2022-11-30,111,320
2022-11-30,79,144
2022-12-01,171,32
2022-12-01,349,320
2022-12-01,482,80
2022-12-01,79,320
2022-12-01,494,128
2022-12-01,21,64
2022-12-02,349,320
2022-12-02,476,96
2022-12-02,79,48
2022-12-02,351,160
2022-12-02,21,320
2022-12-05,4,32
2022-12-05,349,288
2022-12-05,409,96
2022-12-05,19,208
2022-12-05,476,320
2022-12-06,349,144
2022-12-06,162,32
2022-12-06,476,64
2022-12-06,351,320
2022-12-06,205,32
2022-12-06,21,320
2022-12-06,64,32
2022-12-07,475,32
2022-12-07,162,224
2022-12-07,351,320
2022-12-07,21,48
2022-12-07,405,320
2022-12-08,475,112
2022-12-08,120,32
2022-12-08,6,272
2022-12-08,328,320
2022-12-08,319,32
2022-12-08,405,176
2022-12-09,120,320
2022-12-09,260,224
2022-12-09,377,320
2022-12-09,328,80
2022-12-12,349,160
2022-12-12,347,176
2022-12-12,476,240
2022-12-12,351,48
2022-12-12,405,320
2022-12-13,176,32
2022-12-13,66,48
2022-12-13,347,16
2022-12-13,6,32
2022-12-13,19,320
2022-12-13,90,176
2022-12-13,405,320
2022-12-14,120,320
2022-12-14,260,128
2022-12-14,6,112
2022-12-14,377,64
2022-12-14,405,320
2022-12-15,58,64
2022-12-15,226,320
2022-12-15,229,32
2022-12-15,381,160
2022-12-15,280,48
2022-12-15,405,320
2022-12-16,254,64
2022-12-16,404,240
2022-12-16,162,320
2022-12-16,351,320
2022-12-19,171,320
2022-12-19,19,320
2022-12-19,90,176
2022-12-19,111,128
2022-12-20,171,320
2022-12-20,474,112
2022-12-20,111,320
2022-12-20,200,16
2022-12-20,476,176
2022-12-21,484,80
2022-12-21,103,80
2022-12-21,81,192
2022-12-21,407,80
2022-12-21,200,192
2022-12-21,311,320
2022-12-22,254,32
2022-12-22,229,32
2022-12-22,162,320
2022-12-22,351,320
2022-12-22,311,160
2022-12-22,64,80
2022-12-23,254,64
2022-12-23,404,320
2022-12-23,226,48
2022-12-23,162,320
2022-12-23,351,192
2022-12-26,349,320
2022-12-26,476,96
2022-12-26,79,320
2022-12-26,351,208
2022-12-27,349,320
2022-12-27,19,96
2022-12-27,90,112
2022-12-27,79,176
2022-12-27,351,240
2022-12-28,349,80
2022-12-28,404,320
2022-12-28,162,320
2022-12-28,351,224
2022-12-29,404,320
2022-12-29,226,320
2022-12-29,162,192
2022-12-29,437,112
2022-12-30,404,320
2022-12-30,226,320
2022-12-30,437,304
2023-01-02,137,320
2023-01-02,369,112
2023-01-02,90,320
2023-01-02,54,32
2023-01-02,476,160
2023-01-03,349,320
2023-01-03,137,176
2023-01-03,90,240
2023-01-03,54,208
2023-01-04,484,32
2023-01-04,349,320
2023-01-04,407,16
2023-01-04,102,256
2023-01-04,311,320
2023-01-05,349,320
2023-01-05,379,224
2023-01-05,407,16
2023-01-05,311,192
2023-01-05,205,144
2023-01-05,64,48
2023-01-06,267,48
2023-01-06,349,224
2023-01-06,254,112
2023-01-06,404,208
2023-01-06,351,320
2023-01-06,205,32
2023-01-09,404,320
2023-01-09,226,144
2023-01-09,351,320
2023-01-09,437,160
2023-01-10,53,32
2023-01-10,349,320
2023-01-10,404,176
2023-01-10,162,96
2023-01-10,351,320
2023-01-11,459,240
2023-01-11,404,320
2023-01-11,226,48
2023-01-11,122,16
2023-01-11,437,320
2023-01-12,404,320
2023-01-12,122,304
2023-01-12,437,320
2023-01-13,404,320
2023-01-13,122,48
2023-01-13,233,128
2023-01-13,205,128
2023-01-13,437,320
2023-01-16,53,16
2023-01-16,19,320
2023-01-16,476,288
2023-01-16,430,320
2023-01-17,53,176
2023-01-17,19,320
2023-01-17,54,288
2023-01-17,430,160
2023-01-18,81,32
2023-01-18,349,320
2023-01-18,404,16
2023-01-18,341,128
2023-01-18,19,64
2023-01-18,351,320
2023-01-18,205,64
2023-01-19,349,144
2023-01-19,404,320
2023-01-19,351,288
2023-01-19,437,192
2023-01-20,459,176
2023-01-20,267,16
2023-01-20,404,320
2023-01-20,122,32
2023-01-20,233,80
2023-01-20,437,320
2023-01-23,171,320
2023-01-23,111,320
2023-01-23,476,304
2023-01-24,171,288
2023-01-24,53,160
2023-01-24,111,272
2023-01-24,476,208
2023-01-24,494,16
2023-01-25,103,64
2023-01-25,482,192
2023-01-25,407,80
2023-01-25,311,320
2023-01-25,494,288
2023-01-26,254,192
2023-01-26,162,48
2023-01-26,351,272
2023-01-26,311,96
2023-01-26,437,160
2023-01-26,21,144
2023-01-26,64,32
2023-01-27,459,144
2023-01-27,404,320
2023-01-27,311,160
2023-01-27,437,320
2023-01-30,81,32
2023-01-30,349,320
2023-01-30,404,48
2023-01-30,19,224
2023-01-30,229,32
2023-01-30,162,112
2023-01-30,351,176
2023-01-31,349,320
2023-01-31,404,320
2023-01-31,341,64
2023-01-31,437,240
2023-02-01,459,32
2023-02-01,349,128
2023-02-01,404,32
2023-02-01,162,160
2023-02-01,233,272
2023-02-01,437,320
2023-02-02,233,320
2023-02-02,437,320
2023-02-02,215,304
2023-02-03,314,112
2023-02-03,404,32
2023-02-03,409,96
2023-02-03,19,80
2023-02-03,90,256
2023-02-03,54,160
2023-02-03,476,96
2023-02-03,233,112
2023-02-06,53,80
2023-02-06,349,240
2023-02-06,97,16
2023-02-06,54,288
2023-02-06,476,320
2023-02-07,66,48
2023-02-07,254,96
2023-02-07,226,32
2023-02-07,476,224
2023-02-07,233,224
2023-02-07,351,176
2023-02-07,191,144
2023-02-08,333,304
2023-02-08,233,320
2023-02-08,215,320
2023-02-09,378,64
2023-02-09,333,144
2023-02-09,169,96
2023-02-09,233,320
2023-02-09,215,320
2023-02-10,267,16
2023-02-10,118,64
2023-02-10,75,32
2023-02-10,233,320
2023-02-10,191,320
2023-02-10,275,32
2023-02-10,215,160
2023-02-13,53,272
2023-02-13,19,256
2023-02-13,54,96
2023-02-13,476,320
2023-02-14,349,240
2023-02-14,118,64
2023-02-14,54,320
2023-02-14,476,160
2023-02-14,351,80
2023-02-14,275,48
2023-02-14,64,32
2023-02-15,54,320
2023-02-15,233,320
2023-02-15,351,176
2023-02-15,215,128
